ParName,absmin,absmax,Change_Type,Val1,Val2,Val3,Manual_File,Cols,SkipLines
cn2,35,95,abschg,-10,0,10,cntable.lum,1;2;3;4,1
cn3_swf,0,1,absval,0.4,0.6,0.8,hydrology.hyd,8,1
usle_p,0,1,absval,0.4,0.6,0.8,cons_practice.lum,1,1
ovn,0.01,30,pctchg,-20,0,20,ovn_table.lum,1;2;3,1
elev,0,5000,pctchg,-20,0,20,hru.con,6,1
slope,0.0001,0.9,pctchg,-20,0,20,topography.hyd,1,1
slope_len,10,150,pctchg,-20,0,20,topography.hyd,2,1
lat_ttime,0.5,180,absval,1,70,150,hydrology.hyd,1,1
lat_sed,0,5000,absval,0,2500,4000,hydrology.hyd,2,1
lat_len,1,150,pctchg,-20,0,20,topography.hyd,3,1
latq_co,0,1,absval,0.4,0.6,0.8,hydrology.hyd,14,1
canmx,0,100,pctchg,-20,0,20,hydrology.hyd,3,1
esco,0,1,absval,0.4,0.6,0.8,hydrology.hyd,4,1
epco,0,1,absval,0.4,0.6,0.8,hydrology.hyd,5,1
erorgn,0,5,absval,0,2,5,hydrology.hyd,6,1
erorgp,0,5,absval,0,2,5,hydrology.hyd,7,1
dis_stream,0,100000,pctchg,-20,0,20,topography.hyd,4,1
biomix,0,1,absval,0.4,0.6,0.8,hydrology.hyd,9,1
perco,0,1,absval,0.4,0.6,0.8,hydrology.hyd,10,1
petco,0.7,1.3,absval,0.7,0.9,1.3,hydrology.hyd,13,1
lat_orgn,0,200,absval,0,70,150,hydrology.hyd,11,1
lat_orgp,0,200,absval,0,70,150,hydrology.hyd,12,1
field_len,0.01,2,pctchg,-20,0,20,field.fld,1,1
field_wid,0.01,2,pctchg,-20,0,20,field.fld,2,1
field_ang,0,360,pctchg,-20,0,20,field.fld,3,1
tile_dep,0,2000,pctchg,-20,0,20,tiledrain.str,1,1
tile_dtime,0,72,pctchg,-20,0,20,tiledrain.str,2,1
tile_lag,0,100,pctchg,-20,0,20,tiledrain.str,3,1
tile_rad,3,40,pctchg,-20,0,20,tiledrain.str,4,1
tile_dist,7600,30000,pctchg,-20,0,20,tiledrain.str,5,1
tile_drain,10,51,pctchg,-20,0,20,tiledrain.str,6,1
tile_pump,0,10,pctchg,-20,0,20,tiledrain.str,7,1
tile_latk,0.01,4,pctchg,-20,0,20,tiledrain.str,8,1
