ParName,absmin,absmax,Change_Type,Val1,Val2,Val3,Manual_File,Cols,SkipLines
w,0,1000,absval,0.1,500,950,hyd-sed-lte.cha,2,1
d,0,30,absval,0.1,15,28,hyd-sed-lte.cha,3,1
s,-0.001,10,absval,0.1,5,9,hyd-sed-lte.cha,4,1
l,-0.05,500,absval,1,250,475,hyd-sed-lte.cha,5,1
n,-0.01,0.3,absval,0.01,0.15,0.3,hyd-sed-lte.cha,6,1
k_ch,-0.01,500,absval,1,250,475,hyd-sed-lte.cha,7,1
cov1,-0.05,0.6,absval,-0.05,0.3,0.6,hyd-sed-lte.cha,9,1
cov2,-0.001,10,absval,0.1,5,9,hyd-sed-lte.cha,,1
wdr,0,10000,absval,1,5000,9500,hyd-sed-lte.cha,10,1
alpha_bnk,0,1,absval,0.1,0.5,1,hyd-sed-lte.cha,11,1
onco,0,100,absval,1,50,95,hyd-sed-lte.cha,20,1
opco,0,100,absval,1,50,95,hyd-sed-lte.cha,21,1
side,0,5,absval,0.5,2.5,4,hyd-sed-lte.cha,16,1
bnk_bd,1.1,1.9,absval,1.1,1.45,1.9,hyd-sed-lte.cha,,1
bed_bd,1.1,1.9,absval,1.1,1.45,1.9,hyd-sed-lte.cha,,1
bnk_kd,0.001,3.75,absval,0.5,1.75,3.5,hyd-sed-lte.cha,,1
bed_kd,0.001,3.75,absval,0.5,1.75,3.5,hyd-sed-lte.cha,,1
bnk_d50,1,10000,absval,1,5000,9500,hyd-sed-lte.cha,,1
bed_d50,1,10000,absval,1,5000,9500,hyd-sed-lte.cha,,1
tc_bnk,0,400,absval,1,200,380,hyd-sed-lte.cha,,1
tc_bed,0,400,absval,1,200,380,hyd-sed-lte.cha,,1
erod(1),0,1,absval,0.01,0.5,1,hyd-sed-lte.cha,8,1
